cascade_id,session_id,task,context_json,goal_id,goal_json,preflight_completed,think_completed,plan_completed,investigate_completed,check_completed,act_completed,postflight_completed,final_action,final_confidence,investigation_rounds,duration_ms,started_at,completed_at,engagement_gate_passed,bayesian_active,drift_monitored,epistemic_delta
5763aff3-455f-4e57-acba-dc63aadefdca,c3739e8f-abe3-4ff5-843a-091b39e8a0bf,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767273695.9888947,,,0,0,
6271e977-9fdc-40db-9c62-11bb78e17825,c81d61b8-e6e2-44d7-b8eb-99d9d0bde37e,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767274240.3331563,,,0,0,
38b27d0c-9517-45bf-9177-35511a3260fc,c81d61b8-e6e2-44d7-b8eb-99d9d0bde37e,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767276820.8263845,,,0,0,
dca15e4b-ce0f-4407-98a0-182740f9882e,c81d61b8-e6e2-44d7-b8eb-99d9d0bde37e,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767277264.8623896,,,0,0,
e5c0fbf2-a429-4caf-9ded-f1f12f4e452c,c81d61b8-e6e2-44d7-b8eb-99d9d0bde37e,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767279746.8486366,,,0,0,
9d730037-14c5-41d5-b168-1b9000f644d6,24e0fd9a-cdeb-4128-8a22-33522e044ea7,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767280152.1344707,,,0,0,
17a70132-5eb1-492e-a17a-2ee14f865d36,f4d80e69-2c4d-4746-8744-4cb204e4dc50,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767280953.4379706,,,0,0,
1eb50fb4-ef73-4ece-aefa-4b6f1e850a5c,b0ed1fc5-913a-46ad-bcdd-a6b87d0a11ea,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767281646.1155233,,,0,0,
0a483aed-1ce4-4dfa-a525-845b6e404d6e,3a3728a4-bb37-478f-a3f3-7b743305d974,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767281832.3944046,,,0,0,
773f876a-aa0a-4011-9c46-c6b9d3ad2851,b9ef4dbb-c0d7-492e-a3f1-abd07066d7f6,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767282100.1808853,,,0,0,
63e213fd-ae99-48db-ad3b-dc4bb2cef2dd,8d29daad-2012-4262-8a32-f48ba7ed1813,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767284249.135789,,,0,0,
94c82676-b222-4ba0-8d6d-8a56f96bda5b,ae60439d-54ca-4616-958c-84a241295b86,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767288423.5843947,,,0,0,
b38306a4-b24e-4715-a9e1-3c7803fd5c8d,13ac95a6-4cb0-4f88-9d2b-9c7c362effff,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767291606.9257574,,,0,0,
bd0a2800-dc33-43bf-9325-baa996f7cb55,2ba34768-fc9d-441e-9864-5a5f1ef53146,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767293399.7551494,,,0,0,
4ca5269b-54f7-49ba-b61d-e4b257ec8537,e17abb48-5047-4479-874d-11e025226b3b,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767294689.8630602,,,0,0,
ed8bc023-f4a5-4ff1-b4ca-a89e80f08f6c,810983ce-527e-49d5-abac-21164e07f438,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767338936.246419,,,0,0,
7bde55b7-39db-42e3-9c89-83c792abc724,d3f384cd-7d2a-4359-b809-9368a1cc54e7,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767340235.1471221,,,0,0,
93fb1645-9163-47ca-9379-c053257aacef,c20eb448-ede2-4df0-82ed-4b62a632de26,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767342022.4017315,,,0,0,
eb33b8fc-3cd9-42d1-9586-429c8ac86b9a,c20eb448-ede2-4df0-82ed-4b62a632de26,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767344515.6899993,,,0,0,
a1e74980-5dd8-4280-8a4b-36560bbc44f3,2c9065c7-75d1-4be1-8eff-dcba4675336c,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767345448.881608,,,0,0,
7061fb05-464c-4d97-9224-af127e654cae,a5d62ad8-4d8f-42b2-acfa-caf644816804,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767348234.5430849,,,0,0,
6c3fb741-fb15-4e00-b67c-83adab9acb22,2c9065c7-75d1-4be1-8eff-dcba4675336c,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767349886.0360754,,,0,0,
22f7a4ed-3690-4721-83f2-97966cbde078,d145c20c-33a1-462f-a7e4-f1729dee5733,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767351046.7865577,,,0,0,
7616d2d3-d217-49ab-a3c1-03cffde17a15,12084d97-9717-4e7c-950c-9272d0a7dad3,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767352157.004011,,,0,0,
284fe9c4-5d29-4164-8c75-2fdb3e6306c6,12084d97-9717-4e7c-950c-9272d0a7dad3,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767354941.159212,,,0,0,
48bc45cd-7408-4ec3-ad45-54bc88f017b6,12084d97-9717-4e7c-950c-9272d0a7dad3,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767357873.5288515,,,0,0,
e97d3f7f-9657-4405-ae06-69b9ccd681d0,12084d97-9717-4e7c-950c-9272d0a7dad3,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767358618.2353911,,,0,0,
59371bd5-16b9-4dd2-8a03-289cecd1033b,12084d97-9717-4e7c-950c-9272d0a7dad3,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767361685.2376173,,,0,0,
4cd73b4c-f871-49af-ac26-d428beb2cbde,12084d97-9717-4e7c-950c-9272d0a7dad3,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767361850.127196,,,0,0,
b482aba9-e4eb-4935-8924-fbaa739194ff,67764186-e63b-4616-8c3d-d15c685df90a,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767366558.4956949,,,0,0,
e0d46065-27e8-4adb-a3be-47f75ef94903,b2d53a03-3c23-43d9-bbcf-a259035d1d5a,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767367356.5526357,,,0,0,
4799530e-e71e-4181-b3c5-52d3f462f0e3,4c5d77b4-36a3-4b1d-be14-e6f464656037,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767368138.7483242,,,0,0,
43c82c91-d565-406f-8862-d7634bf279d2,be72945b-f8bc-42fc-aae9-0a6bb140d2f1,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767368449.200938,,,0,0,
250143f6-2bd1-4f2b-b0c7-da0c8994813f,cb74607c-2387-4ac0-bfd1-8a3e7f8cc6f2,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767369482.5575585,,,0,0,
f5249bbf-021d-4fb6-ac26-ae354948c421,f01312ca-decc-4495-ba9b-b668a857e33a,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767373200.5329907,,,0,0,
33f62fc8-da3b-46b8-bfeb-6257cf8be0e1,1ac2f0b0-066b-4fd2-a1e4-65b5bbf30681,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767374619.1147082,,,0,0,
56fbb05f-7f01-470e-bc37-36cbc0205568,1ac2f0b0-066b-4fd2-a1e4-65b5bbf30681,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767434108.1509502,,,0,0,
bf375678-fc40-4fe8-a37d-13c8abfa19c2,1daa9282-ff84-4595-9b83-1de2b72fe08b,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767465864.2729273,,,0,0,
5cc5a35d-c8ea-4874-9c65-b1d5ee4bb883,e0d68cfd-61ab-4665-b79f-5670695f6d5e,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767482824.3809972,,,0,0,
9c97049c-2d58-4adf-961f-ae006ac0dc88,8ed4ae17-e356-4e6d-987e-5d858fbb691e,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767483033.2191691,,,0,0,
d9608523-e46a-422a-99d6-d56e7561bc9d,fc851d91-f6d4-465b-aea1-a49bb57085ea,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767486696.40486,,,0,0,
d456da0f-7c7a-4096-9cda-de3fa432c452,5f7ef21d-b907-48b9-ae62-157ae7ed1d6c,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767489552.73463,,,0,0,
374c5a64-1f80-4ddc-beaa-7b0a745df41b,a2a704ce-4d5e-42fc-a4a8-0e709aff6de9,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491131.428995,,,0,0,
ff267abc-de0e-4626-ba85-b18c2646f10f,025c20e0-50b6-4c1d-bfad-4079c030631b,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491226.7363617,,,0,0,
60941094-95ea-4cbf-a20d-c7ed1674d150,28bfacc4-116a-4b04-914c-c217f92a4ead,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491244.158917,,,0,0,
3bf037b7-f0bf-4ce1-9728-54835cf0098f,c5b8bbc5-5611-496d-a331-99b518e3c613,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491275.7609892,,,0,0,
1c18f004-c3ba-44f4-965d-c89a7ce71189,6d1553e1-22b6-43c5-be66-7c8ef6d5703a,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491321.8749187,,,0,0,
fe03eebd-41a1-4e7a-8edb-7122f82b71b7,9fda29c5-36f3-4f39-b3f0-c0818d101d67,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491354.952734,,,0,0,
758362bf-ea32-41c6-a767-18a967a803b5,5e36ac94-2f57-4f33-879b-1395f73e24c8,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491797.115866,,,0,0,
2f808ac6-dac7-4816-a3e9-5589cee37d3f,68a028a6-3aa5-42a6-afbc-3dbb81da9716,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491826.7220368,,,0,0,
704c0b9f-3b72-4606-a22f-260e825e203e,55f03f2c-363d-4da2-9eb3-4c61f3c97e2d,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491846.6703749,,,0,0,
b4647421-e53c-46ff-8581-7130053082ac,6db0137a-3e7c-423b-95d3-89dd3a71a36f,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767491927.6872833,,,0,0,
48e9d2ee-8a26-4ed1-ae45-2e90a32d2806,b47724be-bcfc-44e0-a8b7-b9de3adbc5bc,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767529589.0445185,,,0,0,
a2c6750c-471a-457f-841a-402364089e18,79536c65-7b75-4162-a1b6-e18cc624c065,PREFLIGHT assessment,,,,0,0,0,0,0,0,0,,,0,,1767529971.9202871,,,0,0,
